"Identity","FirstName","Surname","Age","Sex","Mobile","Active","EXTRA","SUMMORE",
1,Joe,Van Tonder,35,M,0725329854,TRUE,,
2,Pieter,Nel,26,M,0824981596,FALSE,,
3,Gerhard,Pretorious,29,M,0829876543,TRUE,,
4,Draven,Wolf,34,M,0871234567,,FALSE,
5,Suzanne,Smith,33,F,,TRUE,,
6,Cornelius,Van der Merwe,20,M,0829876543,TRUE,,
7,Tebogo,Gumede,22,M,,TRUE,,
8,Andrew,Caruthers,46,M,0721234567,True,,
9,Janine,Erasmus,50,F,,TRUE,,
10,Patience,Ndlovu,61,F,0745551234,TRUE,,
11,Cool,Ben,27,M,0831234567,True,,
12,Fikile,Cela,25,F,0796543210,True,,
13,See,Lookup,18,M,,True,,
14,Zithule,Cool,23,M,0841234567,True,,
15,Jomo,King,34,M,,False,,
16,Gugu,Gwegwe,27,F,0931234567,True,,
17,Morean,Colcat,35,F,0971234765,True,,

